,genre,ClusterLabel
4239,International,2
4450,Folk,2
4507,International,7
4508,International,2
4509,International,2
4510,International,2
4511,International,2
4519,Electronic,7
4520,Electronic,2
4521,Electronic,2
4522,Electronic,7
4682,Hip-Hop,2
4684,Hip-Hop,2
4685,Hip-Hop,2
4688,Hip-Hop,2
4777,Rock,2
4778,Rock,2
4779,Rock,2
4780,Rock,2
4781,Rock,2
4782,Rock,2
4784,Rock,2
4785,Rock,2
4786,Rock,2
4787,Rock,2
4788,Rock,2
4799,Rock,7
4835,Rock,2
4836,Rock,2
4838,Rock,2
4846,International,2
4848,International,2
4849,International,2
5006,Rock,2
5156,Folk,2
5157,Folk,2
5158,Folk,2
5159,Folk,7
5169,Folk,2
5170,Folk,2
5171,Folk,2
5191,Pop,2
5264,Hip-Hop,2
5268,Hip-Hop,2
5376,Folk,7
5381,Folk,2
5521,Experimental,2
5879,Folk,0
5936,Folk,2
5940,Folk,2
6329,International,2
6330,International,2
6331,International,2
6332,International,2
6333,International,2
6342,International,7
6354,International,2
6357,International,7
6358,International,2
6360,International,7
6363,International,2
6366,International,2
6367,International,2
6368,International,2
6370,International,2
6372,International,7
6373,International,2
6376,International,1
6379,International,0
6380,International,7
6381,International,7
6382,International,2
6383,International,2
6385,International,2
6387,International,2
6389,International,2
6390,International,2
6393,International,7
6394,International,2
6396,International,2
6406,Folk,2
6407,Folk,2
6439,Hip-Hop,2
6440,Hip-Hop,2
6442,Hip-Hop,2
6443,Hip-Hop,2
6448,Hip-Hop,2
6459,International,2
6461,Folk,2
6463,Folk,2
6467,Folk,2
6469,International,2
6517,Rock,2
6519,Rock,7
6603,Hip-Hop,2
6605,Hip-Hop,2
6606,Hip-Hop,2
6607,Hip-Hop,2
6608,Hip-Hop,2
6609,Hip-Hop,2
6610,Hip-Hop,2
6611,Hip-Hop,2
6674,Experimental,0
6675,Experimental,7
6677,Experimental,5
6679,Experimental,7
6680,Experimental,0
6684,Experimental,7
6762,Folk,2
6776,Rock,2
6778,Rock,2
6779,Folk,2
6782,Folk,2
6783,Folk,2
6788,Rock,2
6802,International,2
6803,International,2
6854,Folk,2
6855,Folk,2
6856,Folk,2
6857,Folk,2
7011,Electronic,3
7373,Experimental,1
7374,Experimental,2
7375,Experimental,2
7376,Experimental,2
7377,Experimental,2
7378,Experimental,2
7379,Experimental,2
7381,Experimental,7
7383,Experimental,7
7385,Experimental,2
7386,Experimental,0
7388,Experimental,0
7391,Experimental,7
7393,Experimental,2
7481,Hip-Hop,2
7482,Hip-Hop,2
7483,Hip-Hop,2
7487,Hip-Hop,2
7488,Hip-Hop,2
7489,Hip-Hop,2
7490,Hip-Hop,2
7491,Hip-Hop,2
7492,Hip-Hop,2
7495,Rock,2
7526,Pop,2
7527,Pop,2
7528,Pop,2
7529,Pop,2
7548,Experimental,2
7554,Experimental,7
7709,Folk,2
7710,Folk,2
7711,Folk,2
7712,Folk,2
7713,Folk,2
7872,Rock,2
8056,Rock,2
8208,Rock,2
8256,Folk,2
8259,Folk,2
8261,Folk,2
8345,Experimental,7
8357,Experimental,2
8363,Experimental,2
8372,Experimental,2
8416,Experimental,2
9152,Experimental,2
9155,Experimental,2
9307,Experimental,7
9476,Experimental,0
9477,Experimental,2
9491,Rock,3
9505,Experimental,2
9511,Rock,2
9512,International,1
9513,Rock,2
9550,Rock,2
9553,Rock,2
9555,Rock,0
9557,Rock,2
9559,Rock,2
9560,Rock,2
9678,Experimental,2
9721,Experimental,2
9846,Experimental,2
9887,Folk,2
9888,Folk,7
9918,Experimental,2
9962,Rock,2
10186,International,7
10192,Hip-Hop,2
10250,Instrumental,0
10374,Experimental,2
10375,Experimental,7
10376,Experimental,0
10377,Experimental,2
10381,Folk,2
10382,Folk,2
10383,Folk,2
10384,Folk,2
10385,Folk,2
10386,Folk,2
10387,Folk,2
10388,Folk,2
10389,Folk,2
10435,Experimental,2
10438,Folk,2
10439,Folk,2
10440,Folk,2
10441,Folk,2
10442,Folk,2
10443,Folk,2
10444,Folk,2
10447,Folk,2
10458,Folk,2
10480,Folk,2
10481,Folk,2
10485,Folk,2
10521,Experimental,2
10527,Experimental,2
10535,Experimental,2
10541,Experimental,7
10575,Folk,2
10577,Folk,2
10668,Rock,0
10669,Rock,2
10670,Rock,2
10671,Rock,2
10672,Rock,2
10673,Rock,2
10674,Rock,2
10675,Rock,7
10676,Rock,2
10677,Rock,2
10678,Folk,2
10679,Folk,2
10682,Folk,2
10684,Folk,2
10693,Hip-Hop,6
10694,Hip-Hop,2
10695,Hip-Hop,2
10696,Hip-Hop,2
10697,Hip-Hop,3
10698,Hip-Hop,2
10699,Hip-Hop,7
10805,Pop,2
10806,Pop,0
10807,Pop,7
10808,Pop,5
10809,Pop,7
10810,Pop,1
10983,Experimental,2
10992,Folk,2
10993,Folk,2
11019,Experimental,2
11020,Experimental,2
11059,Folk,2
11198,Pop,2
11199,Pop,7
11200,Pop,7
11204,Hip-Hop,0
11206,Electronic,0
11234,Experimental,1
11237,Experimental,2
11239,Experimental,2
11242,Experimental,2
11261,Pop,7
11262,Electronic,5
11264,Rock,2
11268,Rock,2
11298,Hip-Hop,1
11299,Hip-Hop,2
11306,Rock,2
11333,Experimental,2
11334,Experimental,2
11503,Folk,2
11504,Folk,2
11505,Folk,2
11508,Folk,2
11544,Experimental,2
11638,Instrumental,2
11671,International,2
11672,International,2
11673,International,2
11674,International,2
11675,International,2
11677,International,2
11679,International,2
11681,International,2
11682,International,2
11683,International,2
11763,Hip-Hop,2
11764,Hip-Hop,2
11765,Hip-Hop,2
11766,Hip-Hop,2
11767,Hip-Hop,2
11768,Hip-Hop,2
11769,Hip-Hop,2
11770,Hip-Hop,2
11771,Hip-Hop,2
11772,Hip-Hop,2
11773,Hip-Hop,2
11774,Hip-Hop,2
11775,Hip-Hop,2
11776,Hip-Hop,2
11777,Hip-Hop,2
11778,Hip-Hop,2
11779,Hip-Hop,2
11780,Hip-Hop,2
11781,Hip-Hop,2
11782,Hip-Hop,2
11783,Hip-Hop,2
11784,Hip-Hop,2
11785,Hip-Hop,2
11786,Hip-Hop,2
11787,Hip-Hop,2
11788,Hip-Hop,2
11789,Hip-Hop,2
11790,Hip-Hop,2
11791,Hip-Hop,2
11792,Hip-Hop,2
11793,Hip-Hop,2
11794,Hip-Hop,2
11795,Hip-Hop,2
11803,Hip-Hop,2
11818,Hip-Hop,2
11839,Hip-Hop,2
11861,Hip-Hop,2
11862,Hip-Hop,2
11867,Hip-Hop,2
11868,Hip-Hop,2
11916,Hip-Hop,2
11917,Hip-Hop,2
11918,Hip-Hop,2
11919,Hip-Hop,2
11920,Hip-Hop,7
11921,Hip-Hop,2
11922,Hip-Hop,2
11933,Rock,2
11937,Pop,2
11942,Electronic,2
11946,Experimental,2
11947,Experimental,2
11951,Experimental,2
12045,Folk,2
12046,Folk,2
12047,Folk,7
12048,Folk,2
12049,Folk,2
12050,Folk,2
12051,Folk,2
12052,Folk,2
12053,Folk,7
12058,Folk,2
12059,Folk,2
12060,Folk,2
12061,Folk,2
12062,Folk,2
12064,Folk,2
12065,Folk,2
12066,Folk,2
12067,Folk,2
12109,International,0
12146,Pop,2
12147,Pop,2
12173,Hip-Hop,7
12174,Hip-Hop,2
12179,Pop,2
12188,Pop,7
12189,Electronic,2
12346,Experimental,2
12348,Folk,2
12349,Folk,2
12350,Folk,2
12351,Folk,2
12352,Folk,2
12353,Folk,2
12355,Folk,2
12376,Pop,3
12387,Pop,0
12390,Pop,7
12394,Hip-Hop,2
12481,Folk,2
12482,Folk,2
12484,Folk,2
12485,Folk,2
12486,Folk,2
12487,Folk,2
12488,Folk,2
12489,Folk,2
12490,Folk,2
12508,Folk,2
12513,Folk,2
12514,Folk,2
12518,Pop,2
12521,Rock,2
12526,Hip-Hop,7
12527,Pop,2
12530,Pop,5
12531,Hip-Hop,7
12532,Pop,2
12537,Pop,7
12551,Pop,2
12552,Pop,1
12654,Pop,7
12690,International,2
12691,International,2
12692,International,2
12737,Experimental,7
12985,Folk,2
12986,Folk,2
13191,Pop,5
13197,Pop,4
13199,Hip-Hop,2
13201,Hip-Hop,2
13218,Pop,2
13220,Pop,7
13325,Rock,2
13328,Pop,2
13362,Pop,7
13378,Pop,7
13474,Electronic,2
13537,International,2
13538,International,2
13539,International,2
13540,International,2
13556,Rock,2
13561,Hip-Hop,3
13562,Electronic,7
13566,Hip-Hop,0
13571,Electronic,0
13578,Experimental,2
13591,Hip-Hop,1
13596,Rock,7
13666,Rock,2
13668,Electronic,7
13670,Hip-Hop,2
13706,Electronic,0
13707,Electronic,0
13708,Electronic,3
13709,Electronic,2
13710,Electronic,0
13711,Electronic,3
13735,Hip-Hop,2
13747,Hip-Hop,2
13748,Hip-Hop,2
13749,Hip-Hop,2
13767,Hip-Hop,2
13768,Hip-Hop,2
13804,Hip-Hop,2
13927,Folk,2
13928,Folk,2
13929,Folk,1
13930,Folk,2
14063,Electronic,2
14208,Electronic,2
14315,International,2
14316,International,2
14317,International,2
14318,International,2
14319,International,2
14320,International,2
14344,Electronic,2
14358,Hip-Hop,7
14363,Hip-Hop,2
14365,Hip-Hop,7
14386,Hip-Hop,2
14391,Hip-Hop,2
14538,Hip-Hop,7
14539,Hip-Hop,0
14541,Hip-Hop,7
14542,Hip-Hop,7
14568,Instrumental,2
14569,Instrumental,7
14570,Instrumental,7
14571,Instrumental,7
14572,Instrumental,7
14576,Instrumental,3
14577,Instrumental,2
14578,Instrumental,7
14579,Instrumental,7
14580,Instrumental,7
14581,Instrumental,7
14583,Instrumental,2
14584,Instrumental,2
14585,Instrumental,2
14586,Instrumental,1
14588,Instrumental,7
14589,Instrumental,7
14590,Instrumental,7
14601,International,2
14602,International,2
14603,International,2
14604,International,2
14653,Rock,0
14661,Folk,2
14663,Pop,2
14684,Folk,2
14690,Experimental,2
14693,Folk,2
14733,Rock,2
14734,Rock,2
14735,Rock,2
14736,Rock,2
14737,Rock,2
14738,Rock,2
14739,Rock,2
14740,Rock,2
14741,Rock,2
14742,Rock,2
14743,Rock,2
14744,Rock,2
14745,Rock,2
14809,Folk,2
14869,Electronic,7
15094,Experimental,7
15210,Hip-Hop,2
15464,Experimental,4
15469,Experimental,3
15471,Experimental,5
15475,Experimental,0
15476,Experimental,3
15487,International,2
15488,International,0
15540,Experimental,1
15541,Experimental,7
15542,Experimental,7
15543,Experimental,2
15625,Experimental,2
15769,Electronic,2
15770,Electronic,2
15771,Electronic,2
15772,Electronic,2
15773,Electronic,2
15880,International,2
16095,Pop,2
16155,Pop,2
16158,Pop,2
16162,Hip-Hop,2
16163,Pop,2
16334,International,2
16337,Pop,0
16338,Pop,2
16339,Pop,3
16340,Pop,3
16354,Rock,3
16743,International,2
16744,International,2
16745,International,2
16747,International,7
16819,Rock,2
16820,Rock,2
16821,Rock,2
16822,Rock,0
16878,Hip-Hop,0
16879,Hip-Hop,7
16880,Hip-Hop,2
16895,Pop,2
16994,Rock,2
16995,Rock,2
16997,Rock,2
17132,Folk,2
17344,Pop,0
17345,Pop,2
17462,Rock,2
17491,Hip-Hop,2
17496,Hip-Hop,2
17499,Hip-Hop,2
17500,Hip-Hop,2
17573,Experimental,2
17588,Electronic,7
17605,International,2
17606,International,2
17607,International,2
17608,International,2
17609,International,2
17610,International,2
17611,International,2
17631,International,7
17632,International,1
17633,International,7
17634,International,7
17635,International,7
17636,International,7
17637,International,0
17644,Experimental,2
17735,Rock,2
17782,Hip-Hop,7
17884,Electronic,2
17906,Pop,2
18031,International,2
18032,International,2
18033,International,2
18034,International,2
18037,International,2
18038,International,2
18039,International,2
18043,International,7
18044,International,2
18112,Experimental,0
18124,Experimental,7
18144,Pop,2
18145,Pop,2
18146,Pop,2
18159,Folk,7
18197,Rock,2
18350,Folk,2
18607,Rock,1
18611,Rock,0
18876,Experimental,2
18877,Experimental,2
18887,Rock,5
19073,Pop,2
19074,Pop,2
19179,Rock,2
19184,Rock,0
19187,Rock,2
19192,Experimental,7
19412,Pop,7
19413,Pop,2
19415,Pop,2
19416,Pop,2
19417,Pop,2
19418,Pop,2
19420,Pop,2
19422,Pop,2
19423,Pop,7
19425,Pop,2
19438,Hip-Hop,2
19439,Hip-Hop,2
19441,Pop,2
19442,Pop,2
19459,International,1
19673,International,2
19674,International,2
19685,Rock,2
19689,Pop,2
19707,Folk,2
19708,Folk,7
19729,Hip-Hop,2
19758,Pop,2
19759,Pop,2
19760,Pop,2
19889,International,7
19890,International,2
19891,International,7
20050,Rock,6
20296,Experimental,2
20361,Instrumental,0
20362,Instrumental,7
20364,Instrumental,2
20365,Instrumental,2
20366,Instrumental,7
20369,Instrumental,7
20372,Instrumental,5
20373,Instrumental,7
20374,Instrumental,7
20375,Instrumental,7
20376,Instrumental,2
20424,Experimental,7
20432,International,2
20469,Hip-Hop,1
20667,Electronic,3
20704,Pop,2
20818,Experimental,2
21058,Experimental,7
21085,Electronic,7
21087,Folk,2
21167,Electronic,2
21228,Hip-Hop,2
21231,Pop,7
21232,Pop,7
21400,Pop,2
21401,Pop,0
21402,Pop,1
21403,Pop,6
21404,Pop,6
21409,Pop,7
21422,Electronic,2
21565,Pop,2
21587,Pop,7
21657,Pop,2
21672,Pop,7
21676,Pop,2
21677,Pop,2
21707,Folk,2
21774,Experimental,2
21842,Electronic,2
21859,Rock,2
21860,Rock,2
21891,Electronic,2
21895,Electronic,2
21995,Pop,5
21996,Pop,7
21997,Pop,4
21998,Pop,7
21999,Pop,2
22000,Pop,2
22001,Pop,5
22088,Hip-Hop,1
22091,Hip-Hop,7
22093,Rock,2
22094,Hip-Hop,2
22095,Electronic,7
22097,Pop,2
22150,Experimental,2
22295,Hip-Hop,1
22296,Hip-Hop,2
22315,International,7
22348,Pop,7
22472,Pop,2
22473,Pop,2
22474,Pop,2
22475,Pop,2
22476,Pop,2
22477,Pop,2
22478,Pop,2
22479,Pop,2
22480,Pop,2
22481,Pop,2
23010,Electronic,7
23013,Electronic,2
23014,Folk,2
23015,Folk,2
23016,Electronic,7
23037,Rock,7
23039,Pop,2
23041,Rock,7
23063,Experimental,7
23155,International,2
23156,International,2
23172,Rock,2
23329,Experimental,2
23353,Electronic,7
23355,Electronic,2
23371,Folk,7
23372,Electronic,2
23505,Electronic,2
23862,Electronic,4
24216,Experimental,2
24217,Experimental,2
24218,Experimental,7
24362,International,2
24363,International,2
24364,International,2
24365,International,2
24366,International,2
24367,International,2
24368,International,2
24369,International,2
24370,International,2
24371,International,2
24418,Hip-Hop,5
24420,Hip-Hop,0
24421,Hip-Hop,7
24422,Hip-Hop,3
24423,Hip-Hop,6
24424,Hip-Hop,7
24425,Hip-Hop,2
24426,Hip-Hop,3
24427,Hip-Hop,3
24428,Hip-Hop,7
24429,Hip-Hop,2
24430,Hip-Hop,2
24431,Hip-Hop,0
24432,Hip-Hop,3
24512,Experimental,7
24515,Experimental,7
24521,Experimental,2
24524,Experimental,2
24698,International,2
24699,International,2
24700,International,2
24701,International,2
24702,International,2
24717,International,2
24720,International,2
24739,International,0
24741,International,1
24742,International,0
24745,International,0
24746,International,0
24747,International,1
24748,International,7
24749,International,7
24842,International,2
24898,Experimental,2
24899,Experimental,2
24901,Experimental,2
24912,Experimental,2
24915,Experimental,2
24917,Experimental,2
24963,Experimental,2
24975,Experimental,2
24983,Experimental,0
25028,International,0
25029,International,0
25030,International,1
25031,International,7
25032,International,0
25033,International,0
25055,Pop,2
25063,Experimental,7
25066,Electronic,2
25104,Pop,2
25124,Pop,2
25215,International,0
25216,International,0
25227,International,0
25232,International,0
25233,International,0
25234,International,0
25235,International,0
25324,Experimental,2
25378,Electronic,6
25601,International,2
25603,International,2
25605,International,2
25606,International,2
25608,International,2
25609,International,2
25668,International,2
25669,International,2
25670,International,2
25795,International,2
25796,International,2
25797,International,2
25802,International,2
25804,International,2
26007,Hip-Hop,2
26008,Hip-Hop,2
26010,Hip-Hop,7
26011,Hip-Hop,7
26012,Hip-Hop,2
26013,Hip-Hop,2
26014,Hip-Hop,7
26016,Hip-Hop,0
26017,Hip-Hop,2
26020,Hip-Hop,0
26021,Hip-Hop,2
26022,Hip-Hop,7
26025,Hip-Hop,2
26026,Hip-Hop,2
26034,Hip-Hop,2
26035,Hip-Hop,2
26036,Hip-Hop,2
26169,Pop,2
26174,Pop,2
26298,Pop,2
26301,Experimental,2
26302,Folk,2
26307,Experimental,2
26322,Experimental,2
26464,Folk,2
26465,Folk,2
26466,Folk,2
26583,Experimental,6
26600,Experimental,1
26605,Experimental,3
26629,Electronic,2
26638,Rock,0
26639,Rock,5
26640,Rock,0
26641,Rock,3
26642,Rock,3
26643,Rock,0
26651,Electronic,2
26652,Electronic,2
26653,Electronic,2
26654,Electronic,3
26655,Electronic,7
26656,Electronic,2
26657,Electronic,2
26658,Electronic,2
26659,Electronic,2
26674,Rock,7
26681,Rock,7
26754,Pop,2
26765,Pop,0
26859,Electronic,3
26861,Electronic,0
26902,Electronic,5
26904,Electronic,7
26905,Electronic,1
26906,Electronic,7
27164,Pop,2
27177,Electronic,2
27194,International,2
27195,International,2
27197,International,2
27198,International,2
27258,Folk,2
27406,Electronic,2
27454,Experimental,2
27455,Experimental,2
27456,Experimental,2
27547,Pop,7
27548,Pop,7
27549,Pop,7
27550,Pop,0
27551,Pop,0
27552,Pop,7
27609,International,2
27610,International,2
27611,International,1
27612,International,1
27613,International,2
27667,Electronic,2
27673,Electronic,2
27797,Pop,7
27798,Electronic,2
27799,Hip-Hop,7
27802,Pop,2
27803,Experimental,2
27804,Folk,1
27805,Pop,2
27855,Folk,2
27856,Folk,2
27866,Experimental,2
27945,Experimental,2
27953,International,3
27975,International,0
27978,International,0
27981,International,0
27987,International,0
28070,Rock,2
28072,Rock,2
28179,Electronic,2
28241,Experimental,2
28260,Rock,2
28266,Rock,2
28274,Rock,0
28375,Experimental,2
28376,Experimental,2
28477,Pop,2
28478,Pop,2
28479,Pop,2
28480,Pop,7
28481,Pop,2
28482,Pop,2
28483,Pop,2
28484,Pop,2
28485,Pop,7
28546,Electronic,2
28548,Electronic,2
28553,Electronic,4
28571,Experimental,2
28608,Pop,7
28692,Rock,0
28802,Pop,5
29037,Electronic,2
29039,Electronic,2
29040,Electronic,2
29041,Electronic,2
29042,Electronic,2
29043,Electronic,2
29044,Electronic,2
29045,Pop,2
29128,Pop,2
29180,Pop,2
29243,Pop,0
29245,Pop,3
29255,Pop,1
29271,Pop,5
29272,Experimental,7
29350,International,7
29351,International,7
29355,International,2
29465,Experimental,5
29480,Folk,2
29526,Electronic,7
29528,Electronic,2
29530,Electronic,2
29587,Hip-Hop,2
29602,Hip-Hop,2
29673,Electronic,2
29718,Hip-Hop,6
29719,Hip-Hop,7
29720,Hip-Hop,2
29721,Hip-Hop,1
29738,Experimental,2
29739,Experimental,7
29740,Experimental,0
29741,Experimental,2
29742,Experimental,2
29744,Experimental,2
29745,Experimental,3
29746,Experimental,2
29747,Experimental,7
29750,Experimental,2
29752,Experimental,0
29807,Rock,2
29813,Rock,2
29816,Electronic,2
29961,Hip-Hop,3
29971,Folk,2
30041,Hip-Hop,2
30043,Hip-Hop,0
30050,Hip-Hop,0
30056,Hip-Hop,2
30058,Hip-Hop,7
30059,Hip-Hop,7
30090,Experimental,2
30095,Experimental,2
30120,Experimental,2
30196,Instrumental,2
30198,Experimental,2
30230,Hip-Hop,1
30316,Experimental,2
30486,Pop,2
30487,Pop,2
30488,Pop,2
30519,Electronic,2
30520,Electronic,2
30521,Electronic,2
30522,Electronic,2
30636,Experimental,2
30682,Experimental,2
30690,Experimental,2
30702,Experimental,3
30740,Experimental,2
30895,Electronic,7
31040,Electronic,3
31041,Electronic,0
31042,Electronic,2
31043,Electronic,2
31044,Electronic,2
31165,International,2
31356,Folk,2
31389,Folk,2
31390,Folk,2
31391,Folk,2
31392,Folk,2
31568,Electronic,7
31807,Folk,3
31887,International,2
31888,International,2
31889,International,7
31999,Rock,7
32001,Rock,1
32021,Rock,7
32075,Rock,2
32081,Rock,2
32218,Electronic,2
32325,Pop,0
32326,Pop,3
32327,Pop,0
32328,Pop,7
32329,Pop,2
32330,Pop,2
32331,Pop,7
32332,Pop,7
32333,Pop,0
32334,Pop,7
32335,Pop,5
32336,Pop,3
32337,Pop,7
32338,Pop,7
32339,Pop,7
32340,Pop,4
32433,Electronic,7
32435,Electronic,7
32437,Electronic,0
32438,Electronic,7
32439,Electronic,2
32525,Pop,2
32686,Hip-Hop,2
32687,Hip-Hop,2
32689,Hip-Hop,2
32693,Hip-Hop,1
32694,Hip-Hop,7
32695,Hip-Hop,2
32755,Hip-Hop,7
32756,Folk,2
32759,Pop,7
32760,Pop,2
32800,Folk,0
32882,Hip-Hop,2
33020,Rock,4
33049,Folk,2
33050,Folk,7
33064,Electronic,7
33067,International,2
33068,International,2
33069,International,2
33070,International,2
33071,International,2
33072,International,2
33123,Electronic,2
33124,Electronic,2
33203,Electronic,2
33216,Electronic,5
33221,Electronic,6
33278,Experimental,2
33415,International,2
33422,International,2
33424,International,2
33426,International,2
33446,Folk,1
33459,Rock,2
33460,Rock,2
33461,Rock,2
33465,Rock,2
33477,Experimental,7
33486,Experimental,2
33538,Rock,2
33992,Rock,2
34003,Experimental,0
34147,Folk,7
34167,Hip-Hop,2
34257,Experimental,2
34258,Experimental,2
34263,Experimental,7
34484,Folk,7
34510,Experimental,2
34511,Pop,2
34994,Experimental,2
34996,Experimental,2
35007,Experimental,2
35008,Experimental,2
35182,Pop,2
35184,Pop,7
35198,Experimental,2
35199,Experimental,2
35204,Experimental,2
35296,Electronic,2
35299,Electronic,2
35443,Folk,2
35444,Experimental,7
35462,Experimental,3
35527,Rock,2
35534,Rock,2
35535,Rock,7
35537,Rock,7
35539,Rock,2
35541,Rock,7
35543,Rock,7
35544,Pop,2
35545,Pop,2
35549,Pop,2
35550,Pop,2
35569,Electronic,7
35571,Rock,2
35608,Pop,7
35734,Folk,2
36096,Electronic,2
36097,Electronic,2
36099,Electronic,2
36143,Electronic,2
36144,Electronic,5
36145,Electronic,2
36146,Electronic,2
36147,Electronic,2
36245,Electronic,4
36257,Electronic,2
36258,Electronic,2
36261,Electronic,0
36272,International,7
36273,International,7
36275,International,7
36277,International,7
36302,Hip-Hop,3
36304,Hip-Hop,2
36322,Folk,7
36333,Folk,2
36371,Pop,2
36380,Electronic,2
36388,Pop,2
36428,Electronic,2
36435,Electronic,2
36481,Rock,7
36526,Rock,2
36560,Pop,2
36567,Experimental,2
36614,Pop,2
36615,Pop,2
36616,Pop,7
36618,Pop,0
36643,Pop,2
36659,Electronic,2
36799,Experimental,2
36959,Pop,2
36961,Pop,2
36965,Pop,2
36966,Pop,2
36983,Hip-Hop,2
36984,Hip-Hop,7
36985,Hip-Hop,0
36986,Hip-Hop,0
36987,Hip-Hop,3
36988,Hip-Hop,3
36990,Hip-Hop,2
36992,Hip-Hop,3
36994,Hip-Hop,7
36997,Hip-Hop,2
36998,Electronic,7
36999,International,7
37041,Experimental,2
37111,Instrumental,7
37113,Instrumental,2
37119,Instrumental,2
37121,Experimental,2
37131,Electronic,2
37136,Pop,6
37141,Instrumental,0
37147,Rock,7
37324,Pop,2
37325,Pop,2
37368,Pop,2
37369,Pop,2
37416,Hip-Hop,2
37417,Hip-Hop,7
37423,Hip-Hop,2
37538,Experimental,7
37592,Rock,2
37725,Rock,2
37727,Rock,2
37730,Rock,2
37731,Rock,7
37779,Experimental,0
37781,Experimental,7
37784,Experimental,0
37859,Rock,7
37911,Instrumental,7
37920,Electronic,2
38312,Experimental,2
38321,International,2
38323,International,2
38326,International,2
38351,International,2
38352,International,2
38353,International,2
38354,International,2
38361,Folk,0
38362,Folk,7
38363,Folk,4
38365,International,2
38399,Folk,7
38435,Rock,2
38450,Experimental,4
38522,Rock,2
38557,Rock,2
38560,International,2
38775,International,7
38776,International,7
38777,International,1
38778,International,2
38779,International,2
38780,International,7
38781,International,7
38782,International,2
38783,International,7
38784,International,7
38785,International,2
38817,International,2
38818,International,7
38819,International,2
38820,International,7
38821,International,2
38822,International,7
38823,International,2
38824,International,2
38825,International,2
38826,International,0
38827,International,0
38828,International,2
38829,International,2
