,album,album,album,album,album,album,album,album,album,album,album,album,album,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,set,set,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track,track
324,0,2008-11-26 01:57:45,1982-04-06 00:00:00,,1,109,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.<strong>In this Stripey Collection you also get Hands Beckoning, Central Park (from the Some Bizarre Album) and Travelling Transcontinental.So if you are in the hotel and its tropical holiday time do the rum rhumba until your feet meet.</strong></p>",3439,,[],Stripey Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:27,1982-11-26 00:00:00,120,0,Rock,[89],"[89, 12, 25]",,185,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,106,,12,,[],I just don't know
325,4,2008-11-26 01:57:48,1981-01-01 00:00:00,,1,110,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.That was the general view paraphrased from the music press (Sounds,NME,Melody Maker,Smash Hits) 1981-82Blah Records UK are offering all of this on three unforgetable liberating albums now available for download and CD.</p>
<p>In this Gold Collection you also get the singles In the Army and Why Diddle?  So if your mother was a radiator and the natives are restless hunting weazels outside the veg shop, go down to soho and itch your pants.</p>",4250,,[],Gold Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:29,1981-01-01 00:00:00,199,2,Rock,[89],"[89, 12, 25]",,300,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,217,,12,,[],Liquidizing Chickens
326,0,2008-11-26 01:57:45,1982-04-06 00:00:00,,1,109,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.<strong>In this Stripey Collection you also get Hands Beckoning, Central Park (from the Some Bizarre Album) and Travelling Transcontinental.So if you are in the hotel and its tropical holiday time do the rum rhumba until your feet meet.</strong></p>",3439,,[],Stripey Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:32,1982-11-26 00:00:00,105,0,Rock,[89],"[89, 12, 25]",,286,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,228,,13,,[],Burn
327,0,2008-11-26 01:57:45,1982-04-06 00:00:00,,1,109,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.<strong>In this Stripey Collection you also get Hands Beckoning, Central Park (from the Some Bizarre Album) and Travelling Transcontinental.So if you are in the hotel and its tropical holiday time do the rum rhumba until your feet meet.</strong></p>",3439,,[],Stripey Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:33,1982-11-26 00:00:00,259,0,Rock,[89],"[89, 12, 25]",,234,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,164,,15,,[],Hands Beckoning
328,0,2008-11-26 01:57:45,1982-04-06 00:00:00,,1,109,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.<strong>In this Stripey Collection you also get Hands Beckoning, Central Park (from the Some Bizarre Album) and Travelling Transcontinental.So if you are in the hotel and its tropical holiday time do the rum rhumba until your feet meet.</strong></p>",3439,,[],Stripey Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:37,1982-11-26 00:00:00,236,0,Rock,[89],"[89, 12, 25]",,328,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,254,,16,,[],Central Park
330,0,2008-11-26 01:57:43,2007-09-01 00:00:00,,1,108,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.</p>
<p><strong>In this Green Collection you get 19 fresh Blah tracks for 2007 for your enjoyment.</strong></p>
<p><strong>So listen out for the weatherman, splish spladdy out on the farm and watch out for the crocodiles.</strong></p>",2060,,[],Green Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:43,2007-09-01 00:00:00,270,0,Rock,[89],"[89, 12, 25]",,146,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,58,,17,,[],White Man
331,0,2008-11-26 01:57:43,2007-09-01 00:00:00,,1,108,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones  through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p>
<p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah  are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music.</p>
<p><strong>In this Green Collection you get 19 fresh Blah tracks for 2007 for your enjoyment.</strong></p>
<p><strong>So listen out for the weatherman, splish spladdy out on the farm and watch out for the crocodiles.</strong></p>",2060,,[],Green Collection,0,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:46,2007-09-01 00:00:00,214,0,Rock,[89],"[89, 12, 25]",,187,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,105,,19,,[],Weatherman
332,0,2008-11-26 01:58:50,2009-01-01 00:00:00,,1,112,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones&nbsp; through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p><p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah&nbsp; are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music<br></p><p><br></p><p>In this Anniversary Special you get an unforgettable 41 Free high quality mp3 downloads available only from the forthcoming WFMU Free Music Archive.</p><p>So go down to Denver to the 39th floor club with your Red Coated young girlfriend and see what's in the sugar bowl.<br mce_bogus=""1""></p>",11086,,[],30th Anniversary Blah Blah Blah,21,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:49,2008-11-26 00:00:00,174,0,Rock,[89],"[89, 12, 25]",,139,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,76,,0,,[],39th floor Club
333,0,2008-11-26 01:58:50,2009-01-01 00:00:00,,1,112,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones&nbsp; through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p><p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah&nbsp; are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music<br></p><p><br></p><p>In this Anniversary Special you get an unforgettable 41 Free high quality mp3 downloads available only from the forthcoming WFMU Free Music Archive.</p><p>So go down to Denver to the 39th floor club with your Red Coated young girlfriend and see what's in the sugar bowl.<br mce_bogus=""1""></p>",11086,,[],30th Anniversary Blah Blah Blah,21,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:51,1981-01-01 00:00:00,96,0,Rock,[89],"[89, 12, 25]",,423,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,322,,0,Cherry Red Music (UK),[],Blah intro
334,0,2008-11-26 01:58:50,2009-01-01 00:00:00,,1,112,"<p>What's this? One lion, two moles, two zoo keepers, improvised music, no rhythm? Can I take it, this excercise in free thinking? The grunting vocals, the vibrating rubber bands and noise of someone banging on the ceiling. Amusing digs at the modern warrior accompanied by electronic squonks and bips. They consist of one womble two cats and two traffic wardens and specialise in lurching blahism (hyperbolic and frothy sounds) and can be observed on stage dressed as shakespearian actors making unwelcome, ugly noises to the chagrin of many. An eccentric band of experimental musicians with a bizarre brand of rock disguised by weird noises. The worst jazz cords ever invented, excruciating tones&nbsp; through various noise devices may bring chortles of laughter from the loopy denizens on the extreme arts fringe.</p><p>Jaywick jazz? I wouldn't play this to my dog. Dressing up as rocks Blah Blah Blah&nbsp; are without doubt the weirdest bunch you could ever meet. Manes of electronic gadgetry with wind machines, this is an experience in pop - creepy then crawly examples of the emaciated psychedelic or psychic escapist elements of post-punk music<br></p><p><br></p><p>In this Anniversary Special you get an unforgettable 41 Free high quality mp3 downloads available only from the forthcoming WFMU Free Music Archive.</p><p>So go down to Denver to the 39th floor club with your Red Coated young girlfriend and see what's in the sugar bowl.<br mce_bogus=""1""></p>",11086,,[],30th Anniversary Blah Blah Blah,21,Album,,,,"<p><a title=""Blah Latest"" href=""https://www.facebook.com/events/1428696104057184/"" target=""_blank"">CLICK HERE for Latest News</a></p>
<p> </p>
<p>History</p>
<p>Blah Blah Blah started out during the late 70s punk explosion creating sounds that were deliberately anti-music, anti-cool and above all totally unique.  Improvising on electronic instruments they ventured where no-one else dared go.  Their credo never to repeat a single number (even live) meant that everything was recorded for posterity.  Each session unearthed enough golden nuggets to make the journey worth it.  These gathered nuggets were then released as albums. In the 80s they appeared at the 1st Leeds Futurama Festival and were briefly grouped with the Futurists, sharing live bills alongside fledgling electro-poppers Depeche Mode and chanteuse Marc Almond. The division of live audiences into Blah haters and Blah lovers, often caused near-riots. They eventually retired from the limelight following an attempted live arson attack on band members by a nice fellow in the audience at their thirteenth gig in Stevenage. If you mixed The Residents with the Bonzo Dog Doodah Band and Captain Beefheart you might end up with Blah Blah Blah – whimsical, weird and totally barmy.  The influence of nursery rhymes, sea-shanties, trash literature and TV, and instruments sounding like something that’s escaped from the BBC Radiophonic Workshop.</p>",8,2008-11-26 01:55:23,20,84,,Colchester UK,,"Martin Croxford, Peter Wiggins, Vicky Jones, Ian Smith, Chris Andrews.",Blah Blah Blah,,"['blah blah blah', 'chris andrews']",http://sirhcswerdna.wix.com/chris-andrews#!blah-blah-blah/cbff,,training,large,256000,0,,2008-11-26 01:53:53,1981-01-01 00:00:00,275,0,Rock,[89],"[89, 12, 25]",,405,en,Attribution-Noncommercial-No Derivative Works 2.0 UK: England ,388,,0,Cherry Red Music (UK),[],Blahpunk
